"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"loop_convert_fusion",1,41520,41520.000000,0.9592,41520,41520,0.00000000e+00
"loop_convert_fusion_1",1,30241,30241.000000,0.6987,30241,30241,0.00000000e+00
"wrapped_concatenate",1,27080,27080.000000,0.6256,27080,27080,0.00000000e+00
"loop_add_convert_fusion_5",1,23120,23120.000000,0.5341,23120,23120,0.00000000e+00
"__amd_rocclr_copyBuffer",2,15760,7880.000000,0.3641,5600,10160,3224.406922
"wrapped_broadcast",2,13720,6860.000000,0.3170,5800,7920,1499.066376
"input_concatenate_fusion",1,11001,11001.000000,0.2542,11001,11001,0.00000000e+00
"input_convert_reduce_fusion",1,10840,10840.000000,0.2504,10840,10840,0.00000000e+00
"wrapped_slice",1,9320,9320.000000,0.2153,9320,9320,0.00000000e+00
"input_transpose_fusion_2",1,8000,8000.000000,0.1848,8000,8000,0.00000000e+00
"triton_softmax_3",1,7920,7920.000000,0.1830,7920,7920,0.00000000e+00
"input_transpose_fusion_3",1,7400,7400.000000,0.1710,7400,7400,0.00000000e+00
"input_reduce_fusion_1",1,7360,7360.000000,0.1700,7360,7360,0.00000000e+00
"loop_convert_fusion_3",1,7200,7200.000000,0.1663,7200,7200,0.00000000e+00
"loop_transpose_fusion",1,7080,7080.000000,0.1636,7080,7080,0.00000000e+00
"loop_convert_fusion_2",1,6680,6680.000000,0.1543,6680,6680,0.00000000e+00
"input_reduce_fusion",1,4600,4600.000000,0.1063,4600,4600,0.00000000e+00
"input_transpose_fusion_1",1,4520,4520.000000,0.1044,4520,4520,0.00000000e+00
"input_transpose_fusion",1,4480,4480.000000,0.1035,4480,4480,0.00000000e+00
"loop_multiply_fusion",1,4000,4000.000000,0.0924,4000,4000,0.00000000e+00
"loop_multiply_fusion_1",1,3920,3920.000000,0.0906,3920,3920,0.00000000e+00
"loop_convert_fusion_4",1,3880,3880.000000,0.0896,3880,3880,0.00000000e+00
"input_reduce_fusion_2",1,3760,3760.000000,0.0869,3760,3760,0.00000000e+00
